municipality,population,GM_code
Aa en Hunze,25445,GM1680
Aalsmeer,31859,GM0358
Aalten,27121,GM0197
Achtkarspelen,27843,GM0059
Alblasserdam,20165,GM0482
Albrandswaard,25590,GM0613
Alkmaar,109436,GM0361
Almelo,73107,GM0141
Almere,211893,GM0034
Alphen aan den Rijn,111897,GM0484
Alphen-Chaam,10203,GM1723
Altena,55967,GM1959
Ameland,3716,GM0060
Amersfoort,157276,GM0307
Amstelveen,91675,GM0362
Amsterdam,872757,GM0363
Apeldoorn,163818,GM0200
Arnhem,161348,GM0202
Assen,68599,GM0106
Asten,16721,GM0743
Baarle-Nassau,6859,GM0744
Baarn,24868,GM0308
Barendrecht,48714,GM0489
Barneveld,59082,GM0203
Beek,15865,GM0888
Beekdaelen,35938,GM1954
Beemster,10022,GM0370
Beesel,13482,GM0889
Berg en Dal,34992,GM1945
Bergeijk,18635,GM1724
Bergen (L.),13085,GM0893
Bergen (NH.),29839,GM0373
Bergen op Zoom,67496,GM0748
Berkelland,43747,GM1859
Bernheze,31240,GM1721
Best,29988,GM0753
Beuningen,25890,GM0209
Beverwijk,41626,GM0375
Bladel,20390,GM1728
Blaricum,11540,GM0376
Bloemendaal,23571,GM0377
Bodegraven-Reeuwijk,34872,GM1901
Boekel,10785,GM0755
Borger-Odoorn,25559,GM1681
Borne,23312,GM0147
Borsele,22739,GM0654
Boxmeer,29365,GM0756
Boxtel,30801,GM0757
Breda,184069,GM0758
Brielle,17271,GM0501
Bronckhorst,36055,GM1876
Brummen,20726,GM0213
Brunssum,27821,GM0899
Bunnik,15191,GM0312
Bunschoten,21866,GM0313
Buren,26749,GM0214
Capelle aan den IJssel,67122,GM0502
Castricum,35986,GM0383
Coevorden,35297,GM0109
Cranendonck,21138,GM1706
Cuijk,25130,GM1684
Culemborg,28955,GM0216
Dalfsen,28587,GM0148
Dantumadiel,18922,GM1891
De Bilt,43137,GM0310
De Fryske Marren,51564,GM1940
De Ronde Venen,44456,GM0736
De Wolden,24330,GM1690
Delft,103595,GM0503
Den Helder,56296,GM0400
Deurne,32471,GM0762
Deventer,100719,GM0150
Diemen,30780,GM0384
Dinkelland,26461,GM1774
Doesburg,11077,GM0221
Doetinchem,58001,GM0222
Dongen,26222,GM0766
Dordrecht,119284,GM0505
Drechterland,19719,GM0498
Drimmelen,27272,GM1719
Dronten,41555,GM0303
Druten,18926,GM0225
Duiven,25126,GM0226
Echt-Susteren,31610,GM1711
Edam-Volendam,36197,GM0385
Ede,117165,GM0228
Eemnes,9247,GM0317
Eemsdelta,45528,GM1979
Eersel,19313,GM0770
Eijsden-Margraten,25768,GM1903
Eindhoven,234394,GM0772
Elburg,23161,GM0230
Emmen,107048,GM0114
Enkhuizen,18591,GM0388
Enschede,159640,GM0153
Epe,33178,GM0232
Ermelo,27008,GM0233
Etten-Leur,43878,GM0777
Geertruidenberg,21544,GM0779
Geldrop-Mierlo,39726,GM1771
Gemert-Bakel,30723,GM1652
Gennep,16921,GM0907
Gilze en Rijen,26431,GM0784
Goeree-Overflakkee,50049,GM1924
Goes,38082,GM0664
Goirle,23904,GM0785
Gooise Meren,58055,GM1942
Gorinchem,37022,GM0512
Gouda,73427,GM0513
Grave,12436,GM0786
Groningen,232874,GM0014
Gulpen-Wittem,14171,GM1729
Haaksbergen,24311,GM0158
Haarlem,162902,GM0392
Haarlemmermeer,156002,GM0394
Halderberge,30284,GM1655
Hardenberg,60948,GM0160
Harderwijk,48414,GM0243
Hardinxveld-Giessendam,18295,GM0523
Harlingen,15722,GM0072
Hattem,12209,GM0244
Heemskerk,39182,GM0396
Heemstede,27234,GM0397
Heerde,18589,GM0246
Heerenveen,50493,GM0074
Heerhugowaard,57587,GM0398
Heerlen,87086,GM0917
Heeze-Leende,16152,GM1658
Heiloo,23968,GM0399
Hellendoorn,35916,GM0163
Hellevoetsluis,40142,GM0530
Helmond,92423,GM0794
Hendrik-Ido-Ambacht,31202,GM0531
Hengelo,81140,GM0164
Het Hogeland,47801,GM1966
Heumen,16454,GM0252
Heusden,44692,GM0797
Hillegom,22209,GM0534
Hilvarenbeek,15518,GM0798
Hilversum,90831,GM0402
Hoeksche Waard,87401,GM1963
Hof van Twente,35017,GM1735
Hollands Kroon,48432,GM1911
Hoogeveen,55699,GM0118
Hoorn,73261,GM0405
Horst aan de Maas,42429,GM1507
Houten,50146,GM0321
Huizen,41273,GM0406
Hulst,27556,GM0677
IJsselstein,34109,GM0353
Kaag en Braassem,27297,GM1884
Kampen,54319,GM0166
Kapelle,12695,GM0678
Katwijk,65753,GM0537
Kerkrade,45749,GM0928
Koggenland,22749,GM1598
Krimpen aan den IJssel,29526,GM0542
Krimpenerwaard,56319,GM1931
Laarbeek,22523,GM1659
Landerd,15730,GM1685
Landgraaf,37445,GM0882
Landsmeer,11491,GM0415
Langedijk,28163,GM0416
Lansingerland,62373,GM1621
Laren,11280,GM0417
Leeuwarden,124084,GM0080
Leiden,125099,GM0546
Leiderdorp,27056,GM0547
Leidschendam-Voorburg,76534,GM1916
Lelystad,78598,GM0995
Leudal,35879,GM1640
Leusden,30401,GM0327
Lingewaard,46601,GM1705
Lisse,22955,GM0553
Lochem,33729,GM0262
Loon op Zand,23408,GM0809
Lopik,14467,GM0331
Losser,22683,GM0168
Maasdriel,25030,GM0263
Maasgouw,23965,GM1641
Maassluis,33213,GM0556
Maastricht,121575,GM0935
Medemblik,45101,GM0420
Meerssen,18828,GM0938
Meierijstad,81194,GM1948
Meppel,33920,GM0119
Middelburg,48822,GM0687
Midden-Delfland,19341,GM1842
Midden-Drenthe,33185,GM1731
Midden-Groningen,60797,GM1952
Mill en Sint Hubert,10939,GM0815
Moerdijk,37129,GM1709
Molenlanden,43909,GM1978
Montferland,36011,GM1955
Montfoort,13917,GM0335
Mook en Middelaar,7847,GM0944
Neder-Betuwe,24339,GM1740
Nederweert,17019,GM0946
Nieuwegein,63462,GM0356
Nieuwkoop,28811,GM0569
Nijkerk,43171,GM0267
Nijmegen,177659,GM0268
Nissewaard,85219,GM1930
Noardeast-Fryslân,45228,GM1970
Noord-Beveland,7392,GM1695
Noordenveld,31253,GM1699
Noordoostpolder,47291,GM0171
Noordwijk,43508,GM0575
Nuenen,23383,GM0820
Nunspeet,27851,GM0302
Oegstgeest,24840,GM0579
Oirschot,18714,GM0823
Oisterwijk,26245,GM0824
Oldambt,38209,GM1895
Oldebroek,23646,GM0269
Oldenzaal,31836,GM0173
Olst-Wijhe,18252,GM1773
Ommen,18009,GM0175
Oost Gelre,29627,GM1586
Oosterhout,55982,GM0826
Ooststellingwerf,25469,GM0085
Oostzaan,9735,GM0431
Opmeer,11836,GM0432
Opsterland,29733,GM0086
Oss,91915,GM0828
Oude IJsselstreek,39388,GM1509
Ouder-Amstel,14026,GM0437
Oudewater,10230,GM0589
Overbetuwe,47906,GM1734
Papendrecht,32136,GM0590
Peel en Maas,43425,GM1894
Pekela,12196,GM0765
Pijnacker-Nootdorp,55308,GM1926
Purmerend,81249,GM0439
Putten,24112,GM0273
Raalte,37712,GM0177
Reimerswaal,22730,GM0703
Renkum,31419,GM0274
Renswoude,5444,GM0339
Reusel-De Mierden,13112,GM1667
Rheden,43761,GM0275
Rhenen,20119,GM0340
Ridderkerk,46189,GM0597
Rijssen-Holten,38177,GM1742
Rijswijk,54450,GM0603
Roerdalen,20574,GM1669
Roermond,58260,GM0957
Roosendaal,77251,GM1674
Rotterdam,651168,GM0599
Rozendaal,1704,GM0277
Rucphen,22878,GM0840
Schagen,46483,GM0441
Scherpenzeel,9880,GM0279
Schiedam,78730,GM0606
Schiermonnikoog,947,GM0088
Schouwen-Duiveland,33839,GM1676
's-Gravenhage,545838,GM0518
's-Hertogenbosch,155111,GM0796
Simpelveld,10555,GM0965
Sint Anthonis,11664,GM1702
Sint-Michielsgestel,29208,GM0845
Sittard-Geleen,92429,GM1883
Sliedrecht,25220,GM0610
Sluis,23210,GM1714
Smallingerland,56150,GM0090
Soest,46606,GM0342
Someren,19368,GM0847
Son en Breugel,17322,GM0848
Stadskanaal,31686,GM0037
Staphorst,17145,GM0180
Stede Broec,21726,GM0532
Steenbergen,24416,GM0851
Steenwijkerland,44126,GM1708
Stein,25007,GM0971
Stichtse Vecht,64931,GM1904
Súdwest-Fryslân,89987,GM1900
Terneuzen,54426,GM0715
Terschelling,4888,GM0093
Texel,13575,GM0448
Teylingen,37440,GM1525
Tholen,25757,GM0716
Tiel,42159,GM0281
Tilburg,219789,GM0855
Tubbergen,21275,GM0183
Twenterand,33743,GM1700
Tynaarlo,33887,GM1730
Tytsjerksteradiel,32052,GM0737
Uden,42119,GM0856
Uitgeest,13666,GM0450
Uithoorn,29478,GM0451
Urk,21031,GM0184
Utrecht,357597,GM0344
Utrechtse Heuvelrug,49580,GM1581
Vaals,10105,GM0981
Valkenburg aan de Geul,16367,GM0994
Valkenswaard,31193,GM0858
Veendam,27384,GM0047
Veenendaal,66493,GM0345
Veere,21880,GM0717
Veldhoven,45466,GM0861
Velsen,68648,GM0453
Venlo,101802,GM0983
Venray,43614,GM0984
Vijfheerenlanden,56811,GM1961
Vlaardingen,73397,GM0622
Vlieland,1155,GM0096
Vlissingen,44360,GM0718
Voerendaal,12475,GM0986
Voorschoten,25596,GM0626
Voorst,24552,GM0285
Vught,26558,GM0865
Waadhoeke,46090,GM1949
Waalre,17456,GM0866
Waalwijk,48637,GM0867
Waddinxveen,29291,GM0627
Wageningen,39664,GM0289
Wassenaar,26305,GM0629
Waterland,17424,GM0852
Weert,50105,GM0988
Weesp,19738,GM0457
West Betuwe,51128,GM1960
West Maas en Waal,19324,GM0668
Westerkwartier,63329,GM1969
Westerveld,19460,GM1701
Westervoort,14971,GM0293
Westerwolde,25733,GM1950
Westland,110375,GM1783
Weststellingwerf,25914,GM0098
Westvoorne,14731,GM0614
Wierden,24446,GM0189
Wijchen,41110,GM0296
Wijdemeren,24358,GM1696
Wijk bij Duurstede,23914,GM0352
Winterswijk,28854,GM0294
Woensdrecht,21876,GM0873
Woerden,52299,GM0632
Wormerland,16270,GM0880
Woudenberg,13362,GM0351
Zaanstad,156794,GM0479
Zaltbommel,28881,GM0297
Zandvoort,17116,GM0473
Zeewolde,22653,GM0050
Zeist,64905,GM0355
Zevenaar,43750,GM0299
Zoetermeer,125285,GM0637
Zoeterwoude,8605,GM0638
Zuidplas,43885,GM1892
Zundert,21829,GM0879
Zutphen,47934,GM0301
Zwartewaterland,22685,GM1896
Zwijndrecht,44737,GM0642
Zwolle,128840,GM0193
